:~~~~~~~~~~~~~~~~~~~~~~~~~~ i3 Keybindings ~~~~~~~~~~~~~~~~~~~~~~~~:
~~~~~ Win = Mod ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~Alt = Mod1~~~~~~
alacritty | Mod+Shift+Return
appfinder | Control+Mod1+a
appfinder | Mod1+F3
archlinux-logout | Mod+Shift+e
archlinux-logout | Mod+X
archlinux-tweak-tool | Control+Mod1+e
arcolinux-Logout | Control+Mod1+k
arcolinux-Logout | Control+Mod1+l
brave | Mod+e
brave | Mod+w
chatgpt | Mod+c
chromium  | Mod+F1
cliphist Copy | Control+Mod1+c
cliphist Add | Control+Mod1+v
cliphist Sel | Control+Mod1+s
cliphist Clear | Control+Mod1+l
darktable | Mod+F5
dmenu | Control+Shift+d
file Manager | Mod+F2
geany | Mod+F8
gimp | Mod+F6
keepassxc | Control+Shift+k
kill | Mod+q
kill | Mod+Shift+q
kitty | Mod+Return
neovim | Mod+v
pamac-Manager | Control+Mod1+p
pavuControl | Control+Mod1+u
Picom toggle | Control+mod1+o
ranger | Mod+Mod1+r
reload i3 config | Mod+Shift+c
restart i3 | Mod+Shift+r
scratchpad add | Mod+Shift+minus
scratchpad show | Mod+minus
settings-Manager | Control+Mod1+m
spotify | Mod+F10
taskmanager | Control+Shift+Escape
thunderbird | Mod+F4
Useful Commands | Control+Mod+Space
wikipedia  | Control+Mod+w
xfce4-Screenshooter | Control+Print
xfce4-Terminal | F12
xkill | Mod+esc
zen-Browser | Mod+F3
